Squad,  #Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard PK,Standard PKatt
eg vs Al Ahly,21,3,5,42,14,33.3,14,4.67,0.12,0.36,0,0
ae vs Al Ain FC,22,3,12,48,20,41.7,16,6.67,0.23,0.55,1,1
sa vs Al-Hilal,21,5.3,6,85,32,37.6,15.94,6,0.07,0.19,0,1
es vs Atlético Madrid,19,3,5,39,18,46.2,13,6,0.1,0.22,1,1
nz vs Auckland City,25,3,16,104,43,41.3,34.67,14.33,0.13,0.3,3,3
de vs Bayern Munich,21,5,6,37,16,43.2,7.4,3.2,0.14,0.31,1,1
pt vs Benfica,21,4.3,6,49,20,40.8,11.31,4.62,0.12,0.3,0,0
ar vs Boca Juniors,20,3,5,22,9,40.9,7.33,3,0.18,0.44,1,1
br vs Botafogo (RJ),21,4.3,3,81,17,21,18.69,3.92,0.04,0.18,0,0
eng vs Chelsea,27,7.3,5,58,29,50,7.91,3.95,0.07,0.14,1,1
de vs Dortmund,19,5,7,62,27,43.5,12.4,5.4,0.11,0.26,0,0
tn vs Espérance Tunis,18,3,5,37,13,35.1,12.33,4.33,0.14,0.38,0,1
br vs Flamengo,24,4,5,30,11,36.7,7.5,2.75,0.17,0.45,0,0
br vs Fluminense,23,6,5,72,22,30.6,12,3.67,0.07,0.23,0,0
it vs Inter,20,4,4,37,10,27,9.25,2.5,0.11,0.4,0,0
us vs Inter Miami,16,4,6,66,27,40.9,16.5,6.75,0.08,0.19,1,2
it vs Juventus,21,4,6,69,33,47.8,17.25,8.25,0.09,0.18,0,0
us vs LAFC,18,3,4,46,15,32.6,15.33,5,0.09,0.27,0,0
eng vs Manchester City,25,4.3,6,39,11,28.2,9,2.54,0.15,0.55,0,0
mx vs Monterrey,21,4,3,49,13,26.5,12.25,3.25,0.06,0.23,0,0
mx vs Pachuca,23,3,7,26,11,42.3,8.67,3.67,0.27,0.64,0,0
br vs Palmeiras,24,5.3,3,62,16,25.8,11.62,3,0.05,0.19,0,0
fr vs Paris S-G,19,7,4,58,20,34.5,8.29,2.86,0.07,0.2,0,0
pt vs Porto,21,3,6,46,22,47.8,15.33,7.33,0.11,0.23,1,1
at vs RB Salzburg,20,3,4,48,14,29.2,16,4.67,0.08,0.29,0,0
es vs Real Madrid,22,6,8,85,30,35.3,14.17,5,0.07,0.2,2,2
ar vs River Plate,21,3,3,28,11,39.3,9.33,3.67,0.07,0.18,1,1
us vs Seattle Sounders,21,3,7,42,20,47.6,14,6.67,0.17,0.35,0,0
za vs Sundowns,20,3,3,23,9,39.1,7.67,3,0.13,0.33,0,0
kr vs Ulsan HD,20,3,6,67,21,31.3,22.33,7,0.09,0.29,0,0
jp vs Urawa Reds,18,3,9,57,16,28.1,19,5.33,0.16,0.56,0,0
ma vs Wydad AC,21,3,7,42,14,33.3,14,4.67,0.12,0.36,2,2
