 Squad,#Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt
eg Al Ahly,21,3,4,42,22,52.4,14,7.33,0.07,0.14,,1,2
ae Al Ain FC,22,3,2,32,11,34.4,10.67,3.67,0.03,0.09,,1,1
sa Al-Hilal,21,5.3,8,72,19,26.4,13.5,3.56,0.1,0.37,,1,1
es Atlético Madrid,19,3,4,43,13,30.2,14.33,4.33,0.09,0.31,,0,0
nz Auckland City,25,3,1,8,5,62.5,2.67,1.67,0.13,0.2,,0,0
de Bayern Munich,21,5,15,76,34,44.7,15.2,6.8,0.18,0.41,,1,1
pt Benfica,21,4.3,10,55,28,50.9,12.69,6.46,0.11,0.21,,4,4
ar Boca Juniors,20,3,3,57,15,26.3,19,5,0.05,0.2,,0,0
br Botafogo (RJ),21,4.3,3,39,15,38.5,9,3.46,0.08,0.2,,0,0
eng Chelsea,27,7.3,16,112,45,40.2,15.27,6.14,0.14,0.36,,0,0
de Dortmund,19,5,8,61,28,45.9,12.2,5.6,0.11,0.25,,1,1
tn Espérance Tunis,18,3,1,19,7,36.8,6.33,2.33,0.05,0.14,,0,0
br Flamengo,24,4,8,55,20,36.4,13.75,5,0.13,0.35,,1,1
br Fluminense,23,6,8,78,23,29.5,13,3.83,0.1,0.35,,0,0
it Inter,20,4,5,73,13,17.8,18.25,3.25,0.07,0.38,,0,0
us Inter Miami,16,4,4,36,17,47.2,9,4.25,0.11,0.24,,0,0
it Juventus,21,4,10,36,14,38.9,9,3.5,0.25,0.64,,1,1
us LAFC,18,3,1,22,7,31.8,7.33,2.33,0.05,0.14,,0,1
eng Manchester City,25,4.3,15,90,42,46.7,20.77,9.69,0.16,0.33,,1,1
mx Monterrey,21,4,6,46,17,37,11.5,4.25,0.13,0.35,,0,0
mx Pachuca,23,3,2,55,19,34.5,18.33,6.33,0.04,0.11,,0,0
br Palmeiras,24,5.3,5,76,20,26.3,14.25,3.75,0.07,0.25,,0,0
fr Paris S-G,19,7,15,102,47,46.1,14.57,6.71,0.14,0.3,,1,1
pt Porto,21,3,5,42,13,31,14,4.33,0.1,0.31,,1,1
at RB Salzburg,20,3,2,35,14,40,11.67,4.67,0.06,0.14,,0,0
es Real Madrid,22,6,11,86,35,40.7,14.33,5.83,0.13,0.31,,0,1
ar River Plate,21,3,3,41,13,31.7,13.67,4.33,0.07,0.23,,0,0
us Seattle Sounders,21,3,2,46,9,19.6,15.33,3,0.04,0.22,,0,0
za Sundowns,20,3,4,37,9,24.3,12.33,3,0.11,0.44,,0,0
kr Ulsan HD,20,3,2,22,9,40.9,7.33,3,0.09,0.22,,0,0
jp Urawa Reds,18,3,2,24,11,45.8,8,3.67,0.04,0.09,,1,1
ma Wydad AC,21,3,2,38,10,26.3,12.67,3.33,0.05,0.2,,0,0
